UA_Name,UA_Country,UA_Continent,Housing,Cost of Living,Healthcare,Leisure & Culture,Overall Rating
Dublin, Ireland,Europe,2.512,4.005,6.81,7.135,5.1155
Dusseldorf, Germany,Europe,6.282,5.134,8.004,4.664,6.021
Edinburgh, United Kingdom,Europe,5.845,5.114,8.552,7.201,6.678
Edmonton, Canada,North America,6.73,5.522,8.269,3.974,6.12375
Eindhoven, Netherlands,Europe,6.252,5.125,8.559,4.334,6.0675
New Orleans,United States,North America,5.339,4.992,5.884,7.198,5.85325
Florence, Italy,Europe,6.775,4.649,8.164,8.503,7.02275
Florianopolis, Brazil,South America,9.06,8.331,5.433,5.33,7.0385
Portland,United States,North America,0,0,5.175,3.305,2.12
Frankfurt, Germany,Europe,5.957,5.143,7.707,6.492,6.32475
Fukuoka, Japan,Asia,4.01,0,9.098,5.86,4.742
Galway, Ireland,Europe,6.276,4.927,7.07,1.115,4.847
Gdansk, Poland,Europe,8.508,8.127,6.856,5.515,7.2515
Geneva, Switzerland,Europe,1.078,1,7.443,5.244,3.69125
Gibraltar, Gibraltar,Europe,1.112,0,3.023,2.235,1.5925
Glasgow, United Kingdom,Europe,6.929,5.623,8.813,4.671,6.509
Gothenburg, Sweden,Europe,6.725,5.046,8.102,4.004,5.96925
Grenoble, France,Europe,7.505,4.317,9.063,3.178,6.01575
Guadalajara, Mexico,North America,9.527,9.49,7.034,7.657,8.427
Guatemala City, Guatemala,North America,8.812,8.175,4.764,5.164,6.72875
Halifax, Canada,North America,6.895,4.943,7.886,3.942,5.9165
Hamburg, Germany,Europe,5.945,4.904,8.13,6.352,6.33275
Hannover, Germany,Europe,7.754,6,8.134,3.526,6.3535
Havana, Cuba,North America,9.089,7.608,7,2.07,6.44175
Helsinki, Finland,Europe,5.396,4.121,7.954,7.055,6.1315
Ho Chi Minh City, Vietnam,Asia,8.618,8.844,5.54,5.874,7.219
Hong Kong, Hong Kong,Asia,1,4.967,4.154,7.058,4.29475
Baltimore,United States,North America,4.83,4.982,6.871,0,4.17075
Boston,United States,North America,1,4.259,6.729,8.564,5.138
Hyderabad, India,Asia,10,10,3.957,4.271,7.057
Detroit,United States,North America,6.223,6.032,5.786,7.478,6.37975
Innsbruck, Austria,Europe,6.708,4.732,7.885,4.424,5.93725
Istanbul, Turkey,Asia,9.138,8.787,6.84,10,8.69125
Minneapolis-Saint Paul,United States,North America,4.739,5.042,6.681,6.85,5.828
Jakarta, Indonesia,Asia,8.671,8.471,4.184,8.146,7.368
Johannesburg, South Africa,Africa,8.012,7.575,3.649,4.402,5.9095
Kansas City,United States,North America,6.708,5.844,6.45,6.675,6.41925
Karlsruhe, Germany,Europe,7.764,5.294,8.412,3.986,6.364
Kathmandu, Nepal,Asia,10,9.445,4.116,5.039,7.15
Kiev, Ukraine,Europe,9.084,9.817,4.851,8.42,8.043
Kingston, Jamaica,North America,8.896,5.937,6.678,4.278,6.44725
St. Louis,United States,North America,6.958,5.504,6.67,7.643,6.69375
Krakow, Poland,Europe,8.424,8.509,6.854,7.84,7.90675
Kuala Lumpur, Malaysia,Asia,8.664,8.238,5.95,7.166,7.5045
Kyoto, Japan,Asia,3.765,0,9.079,8.154,5.2495
Lagos, Nigeria,Africa,7.767,9.098,2.862,1.358,5.27125
La Paz, Bolivia,South America,4.724,0,4.316,1.525,2.64125
Las Palmas de Gran Canaria, Spain,Europe,8.232,7.717,9.214,2.814,6.99425
Bozeman,United States,North America,2.949,0,6.515,1.907,2.84275
Lausanne, Switzerland,Europe,4.076,1,7.352,4.222,4.1625
Leeds, United Kingdom,Europe,6.811,5.363,8.634,3.744,6.138
Leipzig, Germany,Europe,8.177,5.911,7.3,4.526,6.4785
Lille, France,Europe,7.532,5.399,9.071,5.11,6.778
Lima, Peru,South America,8.712,8.496,5.711,6.808,7.43175
Lisbon, Portugal,Europe,6.734,7.004,7.86,7.834,7.358
Liverpool, United Kingdom,Europe,7.485,6.02,9.028,5.393,6.9815
Ljubljana, Slovenia,Europe,8.214,6.749,7.672,4.799,6.8585
London, United Kingdom,Europe,1,3.94,8.018,9.456,5.6035
Omaha,United States,North America,7.041,5.994,6.894,4.942,6.21775
Las Vegas,United States,North America,7.001,5.759,5.635,6.368,6.19075
Luxembourg, Luxembourg,Europe,2.453,3.411,8.22,4.496,4.645
Lviv, Ukraine,Europe,9.778,10,4.87,7.058,7.9265
Lyon, France,Europe,6.697,4.349,8.642,5.988,6.419
Albuquerque,United States,North America,7.262,6.059,6.43,4.89,6.16025
Madrid, Spain,Europe,6.414,6.249,8.916,9.338,7.72925
Malaga, Spain,Europe,8.052,7.375,8.656,6.389,7.618
Malmo, Sweden,Europe,7.263,5.57,8.215,2.344,5.848
Managua, Nicaragua,North America,4.786,0,6.404,1.837,3.25675
Manchester, United Kingdom,Europe,6.456,5.049,8.519,4.975,6.24975
Manila, Philippines,Asia,8.596,8.752,4.298,7.584,7.3075
Marseille, France,Europe,7.588,6.026,8.844,5.443,6.97525
Medellin, Colombia,South America,9.232,9.315,6.791,5.029,7.59175
Melbourne, Australia,Oceania,4.83,4.798,8.016,6.461,6.02625
Buffalo,United States,North America,7.076,5.228,6.457,4.32,5.77025
Mexico City, Mexico,North America,8.36,9.244,6.38,9.962,8.4865
New York,United States,North America,1,2.342,6.105,10,4.86175
Milan, Italy,Europe,5.195,4.801,8.445,7.917,6.5895
Rochester,United States,North America,6.727,5.488,6.106,5.335,5.914
Asheville,United States,North America,5.856,5.311,6.725,5.063,5.73875
Minsk, Belarus,Europe,9.496,9.289,5.511,6.95,7.8115
Montevideo, Uruguay,South America,8.183,6.197,6.655,4.946,6.49525
Montreal, Canada,North America,7.392,5.948,7.395,6.918,6.91325
Moscow, Russia,Europe,6.555,8.099,4.763,8.875,7.073
Mumbai, India,Asia,8.124,9.825,3.802,4.968,6.67975
Munich, Germany,Europe,4.23,4.648,8.371,7.336,6.14625
Nairobi, Kenya,Africa,8.85,8.432,3.598,2.67,5.8875
Nantes, France,Europe,7.722,5.021,8.533,4.351,6.40675
Naples, Italy,Europe,8.215,5.81,7.186,6.045,6.814
Charlotte,United States,North America,5.549,4.987,6.432,5.606,5.6435
Raleigh,United States,North America,6.129,5.61,6.677,6.613,6.25725
Cincinnati,United States,North America,6.678,6.108,6.346,6.118,6.3125
Nice, France,Europe,6.498,4.475,8.33,4.78,6.02075
Nicosia, Cyprus,Europe,8.631,6.301,6.759,6.949,7.16
Cleveland,United States,North America,7.156,5.595,6.756,5.697,6.301
Columbus,United States,North America,6.29,5.746,6.406,6.466,6.227
Oklahoma City,United States,North America,7.261,6.394,5.977,5.376,6.252
Osaka, Japan,Asia,7.832,4.819,8.705,7.226,7.1455
Oslo, Norway,Europe,3.768,1.038,7.91,5.899,4.65375
Ottawa, Canada,North America,6.7,6.027,8.011,6.092,6.7075
Oulu, Finland,Europe,3.744,0,7.701,2.006,3.36275
Oxford, United Kingdom,Europe,3.65,4.941,7.97,5.495,5.514
Eugene,United States,North America,6.713,5.021,6.567,2.956,5.31425
Panama, Panama,North America,3.153,0,6.593,5.556,3.8255
Paris, France,Europe,3.584,3.664,8.208,9.816,6.318
Perth, Australia,Oceania,5.233,4.795,8.059,4.512,5.64975
Portland,United States,North America,4.138,4.924,6.318,6.22,5.4
Phnom Penh, Cambodia,Asia,8.552,8.001,2.984,5.407,6.236
Philadelphia,United States,North America,4.207,4.422,6.483,8.492,5.901
Phuket, Thailand,Asia,8.823,7.602,6.654,4.814,6.97325
Pittsburgh,United States,North America,5.964,4.795,6.4,6.859,6.0045
San Juan,United States,North America,7.428,5.98,4.363,6.84,6.15275
Providence,United States,North America,3.153,0,6.515,3.919,3.39675
Porto, Portugal,Europe,8.11,7.422,8.167,5.625,7.331
Porto Alegre, Brazil,South America,9.221,8.12,5.56,7.704,7.65125
Prague, Czechia,Europe,7.43,7.569,7.881,8.465,7.83625
Charleston,United States,North America,4.637,3.567,6.78,6.595,5.39475
Quebec, Canada,Europe,8.518,6.037,8.131,5.637,7.08075
Quito, Ecuador,South America,9.016,7.822,6.406,4.802,7.0115
Chattanooga,United States,North America,6.782,6.121,6.243,4.162,5.827
Reykjavik, Iceland,Europe,2.772,1,8.079,5.02,4.21775
Knoxville,United States,North America,6.975,6.447,6.422,4.496,6.085
Riga, Latvia,Europe,8.933,7.329,5.71,7.706,7.4195
Rio De Janeiro, Brazil,South America,8.32,7.751,4.85,8.668,7.39725
Riyadh, Saudi Arabia,Asia,8.696,7.806,6.086,5.844,7.108
Memphis,United States,North America,7.115,5.829,4.951,6.86,6.18875
Rome, Italy,Europe,5.602,5.323,7.864,9.11,6.97475
Rotterdam, Netherlands,Europe,6.044,4.934,8.329,5.427,6.1835
Saint Petersburg, Russia,Europe,8.36,8.673,4.952,9.654,7.90975
Nashville,United States,North America,4.454,5.742,5.953,7.02,5.79225
Austin,United States,North America,4.334,5.355,6.282,6.698,5.66725
Dallas,United States,North America,5.259,6.091,6.087,7.168,6.15125
Houston,United States,North America,5.225,6.162,6.379,7.144,6.2275
San Jose, Costa Rica,North America,8.164,6.728,7.433,6.867,7.298
San Antonio,United States,North America,6.402,6.683,6.307,6.696,6.522
Salt Lake City,United States,North America,6.141,6.172,6.246,5.932,6.12275
San Salvador, El Salvador,North America,8.802,7.743,5.559,4.858,6.7405
Santiago, Chile,South America,8.382,7.237,7.066,7.556,7.56025
Santo Domingo, Dominican Republic,North America,9.289,8.076,5.026,5.797,7.047
Sao Paulo, Brazil,South America,8.316,7.823,5.372,8.789,7.575
Sarajevo, Bosnia and Herzegovina,Europe,9.692,8.659,6.526,5.934,7.70275
Saskatoon, Canada,North America,7.16,5.042,7.514,1,5.179
Richmond,United States,North America,6.44,5.949,6.488,6.338,6.30375
Seoul, South Korea,Asia,6.143,3.698,8.549,8.2,6.6475
Seville, Spain,Europe,8.096,6.961,8.221,7.416,7.6735
Shanghai, China,Asia,5.744,7.179,6.206,6.693,6.4555
Singapore, Singapore,Asia,1.745,3.489,7.683,7.422,5.08475
Skopje, Macedonia,Europe,9.741,9.11,6.629,6.208,7.922
Sofia, Bulgaria,Europe,9.306,8.55,5.587,5.318,7.19025
Seattle,United States,North America,2.291,3.79,6.31,8.116,5.12675
Stockholm, Sweden,Europe,4.865,4.36,8.039,6.797,6.01525
Stuttgart, Germany,Europe,6.314,5.673,7.851,5.556,6.3485
Sydney, Australia,Oceania,1.986,4.128,8.034,6.228,5.094
Taipei, Taiwan,Asia,7.977,5.644,5.905,7.264,6.6975
Tallinn, Estonia,Europe,8.377,6.931,7.366,7.024,7.4245
Madison,United States,North America,5.83,6.173,7.007,4.422,5.858
Tampere, Finland,Europe,6.936,4.622,8.316,4.187,6.01525
Tartu, Estonia,Europe,8.961,7.47,8.395,4.081,7.22675
Tashkent, Uzbekistan,Asia,5,0,3.693,3.176,2.96725
Tbilisi, Georgia,Europe,9.49,9.765,5.052,4.919,7.3065
Tehran, Iran,Asia,8.303,9.544,5.312,6.521,7.42
Tel Aviv, Israel,Asia,4.91,4.37,8.338,5.334,5.738
The Hague, Netherlands,Europe,6.053,4.653,8.214,5.014,5.9835
Thessaloniki, Greece,Europe,9.378,6.6,7.509,7.689,7.794
Tokyo, Japan,Asia,5.657,3.431,8.826,9.342,6.814
Toronto, Canada,North America,4.66,5.271,8.064,7.826,6.45525
Toulouse, France,Europe,7.544,4.552,8.832,4.137,6.26625
Tunis, Tunisia,Africa,9.968,9.998,6.293,5.743,8.0005
Turin, Italy,Europe,8.07,5.612,8.368,7.061,7.27775
Turku, Finland,Europe,7.534,5.07,8.713,5.098,6.60375
Uppsala, Sweden,Europe,7.16,5.442,8.153,3.427,6.0455
Utrecht, Netherlands,Europe,5.466,4.604,8.394,5.373,5.95925
Valencia, Spain,Europe,8.136,6.872,8.886,7.078,7.743
Valletta, Malta,Europe,3.153,0,8.107,5.827,4.27175
Vancouver, Canada,North America,4.081,5.259,8.038,5.717,5.77375
Victoria, Canada,North America,5.696,5.703,7.693,4.523,5.90375
Vienna, Austria,Europe,6.314,5.111,8.198,8.522,7.03625
Vilnius, Lithuania,Europe,8.621,7.576,6.331,5.199,6.93175
Warsaw, Poland,Europe,7.87,8.192,6.882,7.336,7.57
Milwaukee,United States,North America,6.122,5.526,6.082,6.838,6.142
Wellington, New Zealand,Oceania,5.134,5.161,8.078,4.599,5.743
Winnipeg, Canada,North America,7.553,5.882,7.756,4.688,6.46975
Wroclaw, Poland,Europe,8.452,8.434,6.781,4.75,7.10425
Yerevan, Armenia,Asia,9.694,9.431,5.102,4.737,7.241
Zagreb, Croatia,Europe,8.91,7.194,7.266,4.994,7.091
Zurich, Switzerland,Europe,1.473,1,7.67,4.966,3.77725
